INFO  | 04/05/2026 02:43:45 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 38/50: Acc = 0.8078
INFO  | 04/05/2026 02:43:58 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 39/50: Acc = 0.8028
INFO  | 04/05/2026 02:44:11 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 40/50: Acc = 0.8083
INFO  | 04/05/2026 02:44:24 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 41/50: Acc = 0.8062
INFO  | 04/05/2026 02:44:38 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 42/50: Acc = 0.8083
INFO  | 04/05/2026 02:44:51 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 43/50: Acc = 0.8062
INFO  | 04/05/2026 02:45:04 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 44/50: Acc = 0.8105
INFO  | 04/05/2026 02:45:18 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 45/50: Acc = 0.8100
INFO  | 04/05/2026 02:45:31 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 46/50: Acc = 0.8084
INFO  | 04/05/2026 02:45:44 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 47/50: Acc = 0.8096
INFO  | 04/05/2026 02:45:57 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 48/50: Acc = 0.8100
INFO  | 04/05/2026 02:46:10 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 49/50: Acc = 0.8101
INFO  | 04/05/2026 02:46:23 AM | File mixer_runner.py      | Line 212   |   Seed 43 Ep 50/50: Acc = 0.8102
INFO  | 04/05/2026 02:46:23 AM | File mixer_runner.py      | Line 144   | [Seed 43] Done. Best Acc: 0.8105
INFO  | 04/05/2026 02:46:23 AM | File mixer_runner.py      | Line 138   | [Seed 44] (3/5) Training SwiGLUViT for 50 epochs...
INFO  | 04/05/2026 02:46:37 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 1/50: Acc = 0.4683
INFO  | 04/05/2026 02:46:50 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 2/50: Acc = 0.5338
INFO  | 04/05/2026 02:47:03 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 3/50: Acc = 0.5798
INFO  | 04/05/2026 02:47:18 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 4/50: Acc = 0.6193
INFO  | 04/05/2026 02:47:31 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 5/50: Acc = 0.6430
INFO  | 04/05/2026 02:47:45 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 6/50: Acc = 0.6596
INFO  | 04/05/2026 02:47:58 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 7/50: Acc = 0.6791
INFO  | 04/05/2026 02:48:12 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 8/50: Acc = 0.6954
INFO  | 04/05/2026 02:48:25 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 9/50: Acc = 0.6993
INFO  | 04/05/2026 02:48:38 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 10/50: Acc = 0.7039
INFO  | 04/05/2026 02:48:52 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 11/50: Acc = 0.7244
INFO  | 04/05/2026 02:49:05 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 12/50: Acc = 0.7288
INFO  | 04/05/2026 02:49:18 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 13/50: Acc = 0.7277
INFO  | 04/05/2026 02:49:32 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 14/50: Acc = 0.7380
INFO  | 04/05/2026 02:49:45 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 15/50: Acc = 0.7438
INFO  | 04/05/2026 02:49:58 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 16/50: Acc = 0.7486
INFO  | 04/05/2026 02:50:12 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 17/50: Acc = 0.7527
INFO  | 04/05/2026 02:50:25 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 18/50: Acc = 0.7532
INFO  | 04/05/2026 02:50:39 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 19/50: Acc = 0.7651
INFO  | 04/05/2026 02:50:52 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 20/50: Acc = 0.7663
INFO  | 04/05/2026 02:51:05 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 21/50: Acc = 0.7657
INFO  | 04/05/2026 02:51:19 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 22/50: Acc = 0.7790
INFO  | 04/05/2026 02:51:32 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 23/50: Acc = 0.7880
INFO  | 04/05/2026 02:51:46 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 24/50: Acc = 0.7879
INFO  | 04/05/2026 02:51:59 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 25/50: Acc = 0.7923
INFO  | 04/05/2026 02:52:12 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 26/50: Acc = 0.7922
INFO  | 04/05/2026 02:52:26 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 27/50: Acc = 0.7938
INFO  | 04/05/2026 02:52:39 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 28/50: Acc = 0.7971
INFO  | 04/05/2026 02:52:52 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 29/50: Acc = 0.8012
INFO  | 04/05/2026 02:53:06 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 30/50: Acc = 0.8048
INFO  | 04/05/2026 02:53:19 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 31/50: Acc = 0.8013
INFO  | 04/05/2026 02:53:33 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 32/50: Acc = 0.8027
INFO  | 04/05/2026 02:53:46 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 33/50: Acc = 0.8025
INFO  | 04/05/2026 02:53:59 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 34/50: Acc = 0.8033
INFO  | 04/05/2026 02:54:13 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 35/50: Acc = 0.8110
INFO  | 04/05/2026 02:54:26 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 36/50: Acc = 0.8112
INFO  | 04/05/2026 02:54:38 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 37/50: Acc = 0.8061
INFO  | 04/05/2026 02:54:51 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 38/50: Acc = 0.8119
INFO  | 04/05/2026 02:55:04 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 39/50: Acc = 0.8144
INFO  | 04/05/2026 02:55:17 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 40/50: Acc = 0.8134
INFO  | 04/05/2026 02:55:30 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 41/50: Acc = 0.8109
INFO  | 04/05/2026 02:55:43 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 42/50: Acc = 0.8150
INFO  | 04/05/2026 02:55:55 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 43/50: Acc = 0.8135
INFO  | 04/05/2026 02:56:09 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 44/50: Acc = 0.8185
INFO  | 04/05/2026 02:56:23 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 45/50: Acc = 0.8155
INFO  | 04/05/2026 02:56:36 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 46/50: Acc = 0.8168
INFO  | 04/05/2026 02:56:49 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 47/50: Acc = 0.8167
INFO  | 04/05/2026 02:57:02 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 48/50: Acc = 0.8162
INFO  | 04/05/2026 02:57:15 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 49/50: Acc = 0.8174
INFO  | 04/05/2026 02:57:28 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 50/50: Acc = 0.8165
INFO  | 04/05/2026 02:57:28 AM | File mixer_runner.py      | Line 144   | [Seed 44] Done. Best Acc: 0.8185
