INFO  | 04/05/2026 12:21:53 PM | File rl_runner.py         | Line 218   |   Ep 2/500: Avg Score = -500.00 (eps: 0.990)
INFO  | 04/05/2026 12:21:54 PM | File rl_runner.py         | Line 218   |   Ep 3/500: Avg Score = -500.00 (eps: 0.985)
INFO  | 04/05/2026 12:21:55 PM | File rl_runner.py         | Line 218   |   Ep 4/500: Avg Score = -500.00 (eps: 0.980)
INFO  | 04/05/2026 12:21:57 PM | File rl_runner.py         | Line 218   |   Ep 5/500: Avg Score = -500.00 (eps: 0.975)
INFO  | 04/05/2026 12:22:57 PM | File rl_runner.py         | Line 218   |   Ep 50/500: Avg Score = -497.92 (eps: 0.778)
INFO  | 04/05/2026 12:24:00 PM | File rl_runner.py         | Line 218   |   Ep 100/500: Avg Score = -451.16 (eps: 0.606)
INFO  | 04/05/2026 12:24:45 PM | File rl_runner.py         | Line 218   |   Ep 150/500: Avg Score = -346.40 (eps: 0.471)
INFO  | 04/05/2026 12:25:27 PM | File rl_runner.py         | Line 218   |   Ep 200/500: Avg Score = -338.10 (eps: 0.367)
INFO  | 04/05/2026 12:26:01 PM | File rl_runner.py         | Line 218   |   Ep 250/500: Avg Score = -263.98 (eps: 0.286)
INFO  | 04/05/2026 12:26:28 PM | File rl_runner.py         | Line 218   |   Ep 300/500: Avg Score = -195.56 (eps: 0.222)
INFO  | 04/05/2026 12:26:57 PM | File rl_runner.py         | Line 218   |   Ep 350/500: Avg Score = -212.18 (eps: 0.173)
INFO  | 04/05/2026 12:27:29 PM | File rl_runner.py         | Line 218   |   Ep 400/500: Avg Score = -230.84 (eps: 0.135)
INFO  | 04/05/2026 12:27:58 PM | File rl_runner.py         | Line 218   |   Ep 450/500: Avg Score = -204.34 (eps: 0.105)
INFO  | 04/05/2026 12:28:26 PM | File rl_runner.py         | Line 218   |   Ep 500/500: Avg Score = -208.42 (eps: 0.082)
INFO  | 04/05/2026 12:28:26 PM | File rl_runner.py         | Line 125   | [Seed 46] Done. Final avg(last 50): -208.42
INFO  | 04/05/2026 12:28:26 PM | File rl_runner.py         | Line 121   | [Seed 47] (6/10) Training BaselineDQN for 500 episodes...
INFO  | 04/05/2026 12:28:27 PM | File rl_runner.py         | Line 218   |   Ep 1/500: Avg Score = -500.00 (eps: 0.995)
INFO  | 04/05/2026 12:28:29 PM | File rl_runner.py         | Line 218   |   Ep 2/500: Avg Score = -500.00 (eps: 0.990)
INFO  | 04/05/2026 12:28:30 PM | File rl_runner.py         | Line 218   |   Ep 3/500: Avg Score = -500.00 (eps: 0.985)
INFO  | 04/05/2026 12:28:31 PM | File rl_runner.py         | Line 218   |   Ep 4/500: Avg Score = -500.00 (eps: 0.980)
INFO  | 04/05/2026 12:28:32 PM | File rl_runner.py         | Line 218   |   Ep 5/500: Avg Score = -500.00 (eps: 0.975)
INFO  | 04/05/2026 12:29:28 PM | File rl_runner.py         | Line 218   |   Ep 50/500: Avg Score = -498.08 (eps: 0.778)
INFO  | 04/05/2026 12:30:28 PM | File rl_runner.py         | Line 218   |   Ep 100/500: Avg Score = -473.16 (eps: 0.606)
INFO  | 04/05/2026 12:31:19 PM | File rl_runner.py         | Line 218   |   Ep 150/500: Avg Score = -408.46 (eps: 0.471)
INFO  | 04/05/2026 12:31:54 PM | File rl_runner.py         | Line 218   |   Ep 200/500: Avg Score = -281.12 (eps: 0.367)
INFO  | 04/05/2026 12:32:23 PM | File rl_runner.py         | Line 218   |   Ep 250/500: Avg Score = -219.82 (eps: 0.286)
INFO  | 04/05/2026 12:32:47 PM | File rl_runner.py         | Line 218   |   Ep 300/500: Avg Score = -177.74 (eps: 0.222)
INFO  | 04/05/2026 12:33:12 PM | File rl_runner.py         | Line 218   |   Ep 350/500: Avg Score = -181.54 (eps: 0.173)
INFO  | 04/05/2026 12:33:36 PM | File rl_runner.py         | Line 218   |   Ep 400/500: Avg Score = -178.48 (eps: 0.135)
INFO  | 04/05/2026 12:33:56 PM | File rl_runner.py         | Line 218   |   Ep 450/500: Avg Score = -144.48 (eps: 0.105)
INFO  | 04/05/2026 12:34:13 PM | File rl_runner.py         | Line 218   |   Ep 500/500: Avg Score = -126.18 (eps: 0.082)
INFO  | 04/05/2026 12:34:13 PM | File rl_runner.py         | Line 125   | [Seed 47] Done. Final avg(last 50): -126.18
INFO  | 04/05/2026 12:34:13 PM | File rl_runner.py         | Line 121   | [Seed 48] (7/10) Training BaselineDQN for 500 episodes...
INFO  | 04/05/2026 12:34:14 PM | File rl_runner.py         | Line 218   |   Ep 1/500: Avg Score = -500.00 (eps: 0.995)
INFO  | 04/05/2026 12:34:15 PM | File rl_runner.py         | Line 218   |   Ep 2/500: Avg Score = -500.00 (eps: 0.990)
INFO  | 04/05/2026 12:34:16 PM | File rl_runner.py         | Line 218   |   Ep 3/500: Avg Score = -500.00 (eps: 0.985)
INFO  | 04/05/2026 12:34:17 PM | File rl_runner.py         | Line 218   |   Ep 4/500: Avg Score = -500.00 (eps: 0.980)
INFO  | 04/05/2026 12:34:19 PM | File rl_runner.py         | Line 218   |   Ep 5/500: Avg Score = -500.00 (eps: 0.975)
INFO  | 04/05/2026 12:35:14 PM | File rl_runner.py         | Line 218   |   Ep 50/500: Avg Score = -492.62 (eps: 0.778)
INFO  | 04/05/2026 12:36:15 PM | File rl_runner.py         | Line 218   |   Ep 100/500: Avg Score = -466.90 (eps: 0.606)
INFO  | 04/05/2026 12:37:02 PM | File rl_runner.py         | Line 218   |   Ep 150/500: Avg Score = -358.84 (eps: 0.471)
