INFO  | 03/01/2026 09:27:52 PM | File rl_runner.py         | Line 217   |   Ep 150/500: Avg Score = 103.82 (eps: 0.471)
INFO  | 03/01/2026 09:27:58 PM | File rl_runner.py         | Line 217   |   Ep 200/500: Avg Score = 81.74 (eps: 0.367)
INFO  | 03/01/2026 09:28:06 PM | File rl_runner.py         | Line 217   |   Ep 250/500: Avg Score = 121.02 (eps: 0.286)
INFO  | 03/01/2026 09:28:12 PM | File rl_runner.py         | Line 217   |   Ep 300/500: Avg Score = 89.90 (eps: 0.222)
INFO  | 03/01/2026 09:28:18 PM | File rl_runner.py         | Line 217   |   Ep 350/500: Avg Score = 94.44 (eps: 0.173)
INFO  | 03/01/2026 09:28:28 PM | File rl_runner.py         | Line 217   |   Ep 400/500: Avg Score = 145.44 (eps: 0.135)
INFO  | 03/01/2026 09:28:45 PM | File rl_runner.py         | Line 217   |   Ep 450/500: Avg Score = 230.32 (eps: 0.105)
INFO  | 03/01/2026 09:29:01 PM | File rl_runner.py         | Line 217   |   Ep 500/500: Avg Score = 234.92 (eps: 0.082)
INFO  | 03/01/2026 09:29:01 PM | File rl_runner.py         | Line 124   | [Seed 45] Done. Final avg(last 50): 234.92
INFO  | 03/01/2026 09:29:01 PM | File rl_runner.py         | Line 120   | [Seed 46] (5/10) Training BaselineDQN for 500 episodes...
INFO  | 03/01/2026 09:29:01 PM | File rl_runner.py         | Line 217   |   Ep 1/500: Avg Score = 12.00 (eps: 0.995)
INFO  | 03/01/2026 09:29:01 PM | File rl_runner.py         | Line 217   |   Ep 2/500: Avg Score = 23.50 (eps: 0.990)
INFO  | 03/01/2026 09:29:01 PM | File rl_runner.py         | Line 217   |   Ep 3/500: Avg Score = 22.33 (eps: 0.985)
INFO  | 03/01/2026 09:29:01 PM | File rl_runner.py         | Line 217   |   Ep 4/500: Avg Score = 24.00 (eps: 0.980)
INFO  | 03/01/2026 09:29:01 PM | File rl_runner.py         | Line 217   |   Ep 5/500: Avg Score = 24.00 (eps: 0.975)
INFO  | 03/01/2026 09:29:02 PM | File rl_runner.py         | Line 217   |   Ep 50/500: Avg Score = 25.44 (eps: 0.778)
INFO  | 03/01/2026 09:29:05 PM | File rl_runner.py         | Line 217   |   Ep 100/500: Avg Score = 37.86 (eps: 0.606)
INFO  | 03/01/2026 09:29:11 PM | File rl_runner.py         | Line 217   |   Ep 150/500: Avg Score = 103.38 (eps: 0.471)
INFO  | 03/01/2026 09:29:19 PM | File rl_runner.py         | Line 217   |   Ep 200/500: Avg Score = 108.94 (eps: 0.367)
INFO  | 03/01/2026 09:29:27 PM | File rl_runner.py         | Line 217   |   Ep 250/500: Avg Score = 122.78 (eps: 0.286)
INFO  | 03/01/2026 09:29:38 PM | File rl_runner.py         | Line 217   |   Ep 300/500: Avg Score = 172.56 (eps: 0.222)
INFO  | 03/01/2026 09:29:48 PM | File rl_runner.py         | Line 217   |   Ep 350/500: Avg Score = 139.94 (eps: 0.173)
INFO  | 03/01/2026 09:30:00 PM | File rl_runner.py         | Line 217   |   Ep 400/500: Avg Score = 173.86 (eps: 0.135)
INFO  | 03/01/2026 09:30:14 PM | File rl_runner.py         | Line 217   |   Ep 450/500: Avg Score = 210.48 (eps: 0.105)
INFO  | 03/01/2026 09:30:39 PM | File rl_runner.py         | Line 217   |   Ep 500/500: Avg Score = 365.18 (eps: 0.082)
INFO  | 03/01/2026 09:30:39 PM | File rl_runner.py         | Line 124   | [Seed 46] Done. Final avg(last 50): 365.18
INFO  | 03/01/2026 09:30:39 PM | File rl_runner.py         | Line 120   | [Seed 47] (6/10) Training BaselineDQN for 500 episodes...
INFO  | 03/01/2026 09:30:39 PM | File rl_runner.py         | Line 217   |   Ep 1/500: Avg Score = 16.00 (eps: 0.995)
INFO  | 03/01/2026 09:30:39 PM | File rl_runner.py         | Line 217   |   Ep 2/500: Avg Score = 17.00 (eps: 0.990)
INFO  | 03/01/2026 09:30:39 PM | File rl_runner.py         | Line 217   |   Ep 3/500: Avg Score = 14.67 (eps: 0.985)
INFO  | 03/01/2026 09:30:39 PM | File rl_runner.py         | Line 217   |   Ep 4/500: Avg Score = 21.75 (eps: 0.980)
INFO  | 03/01/2026 09:30:39 PM | File rl_runner.py         | Line 217   |   Ep 5/500: Avg Score = 24.40 (eps: 0.975)
INFO  | 03/01/2026 09:30:41 PM | File rl_runner.py         | Line 217   |   Ep 50/500: Avg Score = 21.66 (eps: 0.778)
INFO  | 03/01/2026 09:30:44 PM | File rl_runner.py         | Line 217   |   Ep 100/500: Avg Score = 49.22 (eps: 0.606)
INFO  | 03/01/2026 09:30:49 PM | File rl_runner.py         | Line 217   |   Ep 150/500: Avg Score = 84.92 (eps: 0.471)
INFO  | 03/01/2026 09:30:57 PM | File rl_runner.py         | Line 217   |   Ep 200/500: Avg Score = 116.88 (eps: 0.367)
INFO  | 03/01/2026 09:31:05 PM | File rl_runner.py         | Line 217   |   Ep 250/500: Avg Score = 116.78 (eps: 0.286)
