INFO  | 04/05/2026 12:11:47 PM | File mixer_runner.py      | Line 237   |   Seed 44 Ep 30/30: Acc = 0.9899
INFO  | 04/05/2026 12:11:47 PM | File mixer_runner.py      | Line 169   | [Seed 44] Done. Best Acc: 0.9901
INFO  | 04/05/2026 12:11:47 PM | File mixer_runner.py      | Line 163   | [Seed 45] (4/5) Training StandardMLPMixer for 30 epochs...
INFO  | 04/05/2026 12:11:59 PM | File mixer_runner.py      | Line 237   |   Seed 45 Ep 1/30: Acc = 0.9636
INFO  | 04/05/2026 12:12:11 PM | File mixer_runner.py      | Line 237   |   Seed 45 Ep 2/30: Acc = 0.9748
INFO  | 04/05/2026 12:12:23 PM | File mixer_runner.py      | Line 237   |   Seed 45 Ep 3/30: Acc = 0.9777
INFO  | 04/05/2026 12:12:35 PM | File mixer_runner.py      | Line 237   |   Seed 45 Ep 4/30: Acc = 0.9804
INFO  | 04/05/2026 12:12:47 PM | File mixer_runner.py      | Line 237   |   Seed 45 Ep 5/30: Acc = 0.9816
INFO  | 04/05/2026 12:12:58 PM | File mixer_runner.py      | Line 237   |   Seed 45 Ep 6/30: Acc = 0.9826
INFO  | 04/05/2026 12:13:09 PM | File mixer_runner.py      | Line 237   |   Seed 45 Ep 7/30: Acc = 0.9842
INFO  | 04/05/2026 12:13:20 PM | File mixer_runner.py      | Line 237   |   Seed 45 Ep 8/30: Acc = 0.9849
INFO  | 04/05/2026 12:13:32 PM | File mixer_runner.py      | Line 237   |   Seed 45 Ep 9/30: Acc = 0.9839
INFO  | 04/05/2026 12:13:43 PM | File mixer_runner.py      | Line 237   |   Seed 45 Ep 10/30: Acc = 0.9862
INFO  | 04/05/2026 12:13:54 PM | File mixer_runner.py      | Line 237   |   Seed 45 Ep 11/30: Acc = 0.9857
INFO  | 04/05/2026 12:14:05 PM | File mixer_runner.py      | Line 237   |   Seed 45 Ep 12/30: Acc = 0.9861
INFO  | 04/05/2026 12:14:17 PM | File mixer_runner.py      | Line 237   |   Seed 45 Ep 13/30: Acc = 0.9859
INFO  | 04/05/2026 12:14:29 PM | File mixer_runner.py      | Line 237   |   Seed 45 Ep 14/30: Acc = 0.9880
INFO  | 04/05/2026 12:14:41 PM | File mixer_runner.py      | Line 237   |   Seed 45 Ep 15/30: Acc = 0.9858
INFO  | 04/05/2026 12:14:52 PM | File mixer_runner.py      | Line 237   |   Seed 45 Ep 16/30: Acc = 0.9850
INFO  | 04/05/2026 12:15:04 PM | File mixer_runner.py      | Line 237   |   Seed 45 Ep 17/30: Acc = 0.9863
INFO  | 04/05/2026 12:15:15 PM | File mixer_runner.py      | Line 237   |   Seed 45 Ep 18/30: Acc = 0.9886
