INFO  | 04/05/2026 06:29:02 PM | File rl_runner.py         | Line 220   |   Ep 400/500: Avg Score = 145.18 (eps: 0.135)
INFO  | 04/05/2026 06:29:26 PM | File rl_runner.py         | Line 220   |   Ep 450/500: Avg Score = 100.22 (eps: 0.105)
INFO  | 04/05/2026 06:29:52 PM | File rl_runner.py         | Line 220   |   Ep 500/500: Avg Score = 107.20 (eps: 0.082)
INFO  | 04/05/2026 06:29:52 PM | File rl_runner.py         | Line 127   | [Seed 45] Done. Final avg(last 50): 107.20
INFO  | 04/05/2026 06:29:52 PM | File rl_runner.py         | Line 123   | [Seed 46] (5/10) Training SwiGLUDQN for 500 episodes...
INFO  | 04/05/2026 06:29:52 PM | File rl_runner.py         | Line 220   |   Ep 1/500: Avg Score = 11.00 (eps: 0.995)
INFO  | 04/05/2026 06:29:52 PM | File rl_runner.py         | Line 220   |   Ep 2/500: Avg Score = 13.50 (eps: 0.990)
INFO  | 04/05/2026 06:29:52 PM | File rl_runner.py         | Line 220   |   Ep 3/500: Avg Score = 19.67 (eps: 0.985)
INFO  | 04/05/2026 06:29:52 PM | File rl_runner.py         | Line 220   |   Ep 4/500: Avg Score = 18.50 (eps: 0.980)
INFO  | 04/05/2026 06:29:52 PM | File rl_runner.py         | Line 220   |   Ep 5/500: Avg Score = 17.60 (eps: 0.975)
INFO  | 04/05/2026 06:29:56 PM | File rl_runner.py         | Line 220   |   Ep 50/500: Avg Score = 23.26 (eps: 0.778)
INFO  | 04/05/2026 06:30:04 PM | File rl_runner.py         | Line 220   |   Ep 100/500: Avg Score = 33.70 (eps: 0.606)
INFO  | 04/05/2026 06:30:15 PM | File rl_runner.py         | Line 220   |   Ep 150/500: Avg Score = 48.82 (eps: 0.471)
INFO  | 04/05/2026 06:30:36 PM | File rl_runner.py         | Line 220   |   Ep 200/500: Avg Score = 88.64 (eps: 0.367)
INFO  | 04/05/2026 06:30:52 PM | File rl_runner.py         | Line 220   |   Ep 250/500: Avg Score = 66.82 (eps: 0.286)
INFO  | 04/05/2026 06:31:10 PM | File rl_runner.py         | Line 220   |   Ep 300/500: Avg Score = 78.00 (eps: 0.222)
INFO  | 04/05/2026 06:31:27 PM | File rl_runner.py         | Line 220   |   Ep 350/500: Avg Score = 70.66 (eps: 0.173)
INFO  | 04/05/2026 06:31:59 PM | File rl_runner.py         | Line 220   |   Ep 400/500: Avg Score = 135.18 (eps: 0.135)
INFO  | 04/05/2026 06:32:31 PM | File rl_runner.py         | Line 220   |   Ep 450/500: Avg Score = 136.48 (eps: 0.105)
INFO  | 04/05/2026 06:33:01 PM | File rl_runner.py         | Line 220   |   Ep 500/500: Avg Score = 125.86 (eps: 0.082)
INFO  | 04/05/2026 06:33:01 PM | File rl_runner.py         | Line 127   | [Seed 46] Done. Final avg(last 50): 125.86
INFO  | 04/05/2026 06:33:01 PM | File rl_runner.py         | Line 123   | [Seed 47] (6/10) Training SwiGLUDQN for 500 episodes...
INFO  | 04/05/2026 06:33:01 PM | File rl_runner.py         | Line 220   |   Ep 1/500: Avg Score = 13.00 (eps: 0.995)
INFO  | 04/05/2026 06:33:01 PM | File rl_runner.py         | Line 220   |   Ep 2/500: Avg Score = 15.50 (eps: 0.990)
INFO  | 04/05/2026 06:33:01 PM | File rl_runner.py         | Line 220   |   Ep 3/500: Avg Score = 15.33 (eps: 0.985)
INFO  | 04/05/2026 06:33:01 PM | File rl_runner.py         | Line 220   |   Ep 4/500: Avg Score = 18.00 (eps: 0.980)
INFO  | 04/05/2026 06:33:01 PM | File rl_runner.py         | Line 220   |   Ep 5/500: Avg Score = 18.20 (eps: 0.975)
INFO  | 04/05/2026 06:33:06 PM | File rl_runner.py         | Line 220   |   Ep 50/500: Avg Score = 24.08 (eps: 0.778)
INFO  | 04/05/2026 06:33:15 PM | File rl_runner.py         | Line 220   |   Ep 100/500: Avg Score = 41.04 (eps: 0.606)
INFO  | 04/05/2026 06:33:26 PM | File rl_runner.py         | Line 220   |   Ep 150/500: Avg Score = 46.98 (eps: 0.471)
INFO  | 04/05/2026 06:33:38 PM | File rl_runner.py         | Line 220   |   Ep 200/500: Avg Score = 50.16 (eps: 0.367)
INFO  | 04/05/2026 06:33:59 PM | File rl_runner.py         | Line 220   |   Ep 250/500: Avg Score = 91.00 (eps: 0.286)
INFO  | 04/05/2026 06:34:22 PM | File rl_runner.py         | Line 220   |   Ep 300/500: Avg Score = 96.34 (eps: 0.222)
INFO  | 04/05/2026 06:34:43 PM | File rl_runner.py         | Line 220   |   Ep 350/500: Avg Score = 90.00 (eps: 0.173)
INFO  | 04/05/2026 06:35:17 PM | File rl_runner.py         | Line 220   |   Ep 400/500: Avg Score = 142.20 (eps: 0.135)
INFO  | 04/05/2026 06:36:33 PM | File rl_runner.py         | Line 220   |   Ep 450/500: Avg Score = 311.14 (eps: 0.105)
INFO  | 04/05/2026 06:37:11 PM | File rl_runner.py         | Line 220   |   Ep 500/500: Avg Score = 155.46 (eps: 0.082)
INFO  | 04/05/2026 06:37:11 PM | File rl_runner.py         | Line 127   | [Seed 47] Done. Final avg(last 50): 155.46
INFO  | 04/05/2026 06:37:11 PM | File rl_runner.py         | Line 123   | [Seed 48] (7/10) Training SwiGLUDQN for 500 episodes...
