INFO  | 04/05/2026 12:09:10 PM | File rl_runner.py         | Line 218   |   Ep 350/500: Avg Score = -200.00 (eps: 0.173)
INFO  | 04/05/2026 12:09:38 PM | File rl_runner.py         | Line 218   |   Ep 400/500: Avg Score = -199.14 (eps: 0.135)
INFO  | 04/05/2026 12:10:05 PM | File rl_runner.py         | Line 218   |   Ep 450/500: Avg Score = -193.04 (eps: 0.105)
INFO  | 04/05/2026 12:10:28 PM | File rl_runner.py         | Line 218   |   Ep 500/500: Avg Score = -179.92 (eps: 0.082)
INFO  | 04/05/2026 12:10:28 PM | File rl_runner.py         | Line 125   | [Seed 45] Done. Final avg(last 50): -179.92
INFO  | 04/05/2026 12:10:28 PM | File rl_runner.py         | Line 121   | [Seed 46] (5/10) Training BaselineDQN for 500 episodes...
INFO  | 04/05/2026 12:10:29 PM | File rl_runner.py         | Line 218   |   Ep 1/500: Avg Score = -200.00 (eps: 0.995)
INFO  | 04/05/2026 12:10:29 PM | File rl_runner.py         | Line 218   |   Ep 2/500: Avg Score = -200.00 (eps: 0.990)
INFO  | 04/05/2026 12:10:30 PM | File rl_runner.py         | Line 218   |   Ep 3/500: Avg Score = -200.00 (eps: 0.985)
INFO  | 04/05/2026 12:10:30 PM | File rl_runner.py         | Line 218   |   Ep 4/500: Avg Score = -200.00 (eps: 0.980)
INFO  | 04/05/2026 12:10:31 PM | File rl_runner.py         | Line 218   |   Ep 5/500: Avg Score = -200.00 (eps: 0.975)
INFO  | 04/05/2026 12:10:53 PM | File rl_runner.py         | Line 218   |   Ep 50/500: Avg Score = -200.00 (eps: 0.778)
INFO  | 04/05/2026 12:11:19 PM | File rl_runner.py         | Line 218   |   Ep 100/500: Avg Score = -200.00 (eps: 0.606)
INFO  | 04/05/2026 12:11:45 PM | File rl_runner.py         | Line 218   |   Ep 150/500: Avg Score = -200.00 (eps: 0.471)
INFO  | 04/05/2026 12:12:10 PM | File rl_runner.py         | Line 218   |   Ep 200/500: Avg Score = -200.00 (eps: 0.367)
INFO  | 04/05/2026 12:12:35 PM | File rl_runner.py         | Line 218   |   Ep 250/500: Avg Score = -200.00 (eps: 0.286)
INFO  | 04/05/2026 12:13:00 PM | File rl_runner.py         | Line 218   |   Ep 300/500: Avg Score = -200.00 (eps: 0.222)
INFO  | 04/05/2026 12:13:26 PM | File rl_runner.py         | Line 218   |   Ep 350/500: Avg Score = -199.76 (eps: 0.173)
INFO  | 04/05/2026 12:13:52 PM | File rl_runner.py         | Line 218   |   Ep 400/500: Avg Score = -200.00 (eps: 0.135)
INFO  | 04/05/2026 12:14:18 PM | File rl_runner.py         | Line 218   |   Ep 450/500: Avg Score = -199.76 (eps: 0.105)
INFO  | 04/05/2026 12:14:43 PM | File rl_runner.py         | Line 218   |   Ep 500/500: Avg Score = -197.98 (eps: 0.082)
INFO  | 04/05/2026 12:14:43 PM | File rl_runner.py         | Line 125   | [Seed 46] Done. Final avg(last 50): -197.98
INFO  | 04/05/2026 12:14:43 PM | File rl_runner.py         | Line 121   | [Seed 47] (6/10) Training BaselineDQN for 500 episodes...
INFO  | 04/05/2026 12:14:44 PM | File rl_runner.py         | Line 218   |   Ep 1/500: Avg Score = -200.00 (eps: 0.995)
INFO  | 04/05/2026 12:14:44 PM | File rl_runner.py         | Line 218   |   Ep 2/500: Avg Score = -200.00 (eps: 0.990)
INFO  | 04/05/2026 12:14:44 PM | File rl_runner.py         | Line 218   |   Ep 3/500: Avg Score = -200.00 (eps: 0.985)
