INFO  | 04/05/2026 12:33:31 PM | File mixer_runner.py      | Line 237   |   Seed 42 Ep 93/100: Acc = 0.8019
INFO  | 04/05/2026 12:33:57 PM | File mixer_runner.py      | Line 237   |   Seed 42 Ep 94/100: Acc = 0.7995
INFO  | 04/05/2026 12:34:23 PM | File mixer_runner.py      | Line 237   |   Seed 42 Ep 95/100: Acc = 0.8012
INFO  | 04/05/2026 12:34:50 PM | File mixer_runner.py      | Line 237   |   Seed 42 Ep 96/100: Acc = 0.8008
INFO  | 04/05/2026 12:35:16 PM | File mixer_runner.py      | Line 237   |   Seed 42 Ep 97/100: Acc = 0.8011
INFO  | 04/05/2026 12:35:42 PM | File mixer_runner.py      | Line 237   |   Seed 42 Ep 98/100: Acc = 0.8008
INFO  | 04/05/2026 12:36:08 PM | File mixer_runner.py      | Line 237   |   Seed 42 Ep 99/100: Acc = 0.8004
INFO  | 04/05/2026 12:36:35 PM | File mixer_runner.py      | Line 237   |   Seed 42 Ep 100/100: Acc = 0.8002
INFO  | 04/05/2026 12:36:35 PM | File mixer_runner.py      | Line 169   | [Seed 42] Done. Best Acc: 0.8046
INFO  | 04/05/2026 12:36:35 PM | File mixer_runner.py      | Line 163   | [Seed 43] (2/5) Training InnerNetViT for 100 epochs...
INFO  | 04/05/2026 12:37:01 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 1/100: Acc = 0.3993
INFO  | 04/05/2026 12:37:27 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 2/100: Acc = 0.5125
INFO  | 04/05/2026 12:37:53 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 3/100: Acc = 0.5478
INFO  | 04/05/2026 12:38:20 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 4/100: Acc = 0.6068
INFO  | 04/05/2026 12:38:46 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 5/100: Acc = 0.6270
INFO  | 04/05/2026 12:39:12 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 6/100: Acc = 0.6409
INFO  | 04/05/2026 12:39:38 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 7/100: Acc = 0.6649
INFO  | 04/05/2026 12:40:05 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 8/100: Acc = 0.6874
INFO  | 04/05/2026 12:40:31 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 9/100: Acc = 0.6973
INFO  | 04/05/2026 12:40:57 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 10/100: Acc = 0.7142
INFO  | 04/05/2026 12:41:24 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 11/100: Acc = 0.7106
INFO  | 04/05/2026 12:41:50 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 12/100: Acc = 0.7266
INFO  | 04/05/2026 12:42:16 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 13/100: Acc = 0.7293
INFO  | 04/05/2026 12:42:43 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 14/100: Acc = 0.7369
INFO  | 04/05/2026 12:43:09 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 15/100: Acc = 0.7479
INFO  | 04/05/2026 12:43:35 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 16/100: Acc = 0.7395
INFO  | 04/05/2026 12:44:01 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 17/100: Acc = 0.7515
INFO  | 04/05/2026 12:44:27 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 18/100: Acc = 0.7556
INFO  | 04/05/2026 12:44:54 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 19/100: Acc = 0.7594
INFO  | 04/05/2026 12:45:20 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 20/100: Acc = 0.7595
INFO  | 04/05/2026 12:45:46 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 21/100: Acc = 0.7703
INFO  | 04/05/2026 12:46:12 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 22/100: Acc = 0.7650
INFO  | 04/05/2026 12:46:39 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 23/100: Acc = 0.7752
INFO  | 04/05/2026 12:47:05 PM | File mixer_runner.py      | Line 237   |   Seed 43 Ep 24/100: Acc = 0.7795
