INFO  | 04/05/2026 06:38:49 PM | File rl_runner.py         | Line 220   |   Ep 1/500: Avg Score = -200.00 (eps: 0.995)
INFO  | 04/05/2026 06:38:50 PM | File rl_runner.py         | Line 220   |   Ep 2/500: Avg Score = -200.00 (eps: 0.990)
INFO  | 04/05/2026 06:38:50 PM | File rl_runner.py         | Line 220   |   Ep 3/500: Avg Score = -200.00 (eps: 0.985)
INFO  | 04/05/2026 06:38:51 PM | File rl_runner.py         | Line 220   |   Ep 4/500: Avg Score = -200.00 (eps: 0.980)
INFO  | 04/05/2026 06:38:52 PM | File rl_runner.py         | Line 220   |   Ep 5/500: Avg Score = -200.00 (eps: 0.975)
INFO  | 04/05/2026 06:39:24 PM | File rl_runner.py         | Line 220   |   Ep 50/500: Avg Score = -200.00 (eps: 0.778)
INFO  | 04/05/2026 06:40:01 PM | File rl_runner.py         | Line 220   |   Ep 100/500: Avg Score = -200.00 (eps: 0.606)
INFO  | 04/05/2026 06:40:40 PM | File rl_runner.py         | Line 220   |   Ep 150/500: Avg Score = -200.00 (eps: 0.471)
INFO  | 04/05/2026 06:41:18 PM | File rl_runner.py         | Line 220   |   Ep 200/500: Avg Score = -200.00 (eps: 0.367)
INFO  | 04/05/2026 06:41:58 PM | File rl_runner.py         | Line 220   |   Ep 250/500: Avg Score = -200.00 (eps: 0.286)
INFO  | 04/05/2026 06:42:37 PM | File rl_runner.py         | Line 220   |   Ep 300/500: Avg Score = -200.00 (eps: 0.222)
INFO  | 04/05/2026 06:43:17 PM | File rl_runner.py         | Line 220   |   Ep 350/500: Avg Score = -197.58 (eps: 0.173)
INFO  | 04/05/2026 06:43:53 PM | File rl_runner.py         | Line 220   |   Ep 400/500: Avg Score = -181.12 (eps: 0.135)
INFO  | 04/05/2026 06:44:24 PM | File rl_runner.py         | Line 220   |   Ep 450/500: Avg Score = -152.30 (eps: 0.105)
INFO  | 04/05/2026 06:44:50 PM | File rl_runner.py         | Line 220   |   Ep 500/500: Avg Score = -128.30 (eps: 0.082)
INFO  | 04/05/2026 06:44:50 PM | File rl_runner.py         | Line 127   | [Seed 46] Done. Final avg(last 50): -128.30
INFO  | 04/05/2026 06:44:50 PM | File rl_runner.py         | Line 123   | [Seed 47] (6/10) Training SwiGLUDQN for 500 episodes...
INFO  | 04/05/2026 06:44:50 PM | File rl_runner.py         | Line 220   |   Ep 1/500: Avg Score = -200.00 (eps: 0.995)
INFO  | 04/05/2026 06:44:51 PM | File rl_runner.py         | Line 220   |   Ep 2/500: Avg Score = -200.00 (eps: 0.990)
INFO  | 04/05/2026 06:44:52 PM | File rl_runner.py         | Line 220   |   Ep 3/500: Avg Score = -200.00 (eps: 0.985)
INFO  | 04/05/2026 06:44:53 PM | File rl_runner.py         | Line 220   |   Ep 4/500: Avg Score = -200.00 (eps: 0.980)
INFO  | 04/05/2026 06:44:53 PM | File rl_runner.py         | Line 220   |   Ep 5/500: Avg Score = -200.00 (eps: 0.975)
INFO  | 04/05/2026 06:45:26 PM | File rl_runner.py         | Line 220   |   Ep 50/500: Avg Score = -200.00 (eps: 0.778)
INFO  | 04/05/2026 06:46:03 PM | File rl_runner.py         | Line 220   |   Ep 100/500: Avg Score = -200.00 (eps: 0.606)
INFO  | 04/05/2026 06:46:41 PM | File rl_runner.py         | Line 220   |   Ep 150/500: Avg Score = -200.00 (eps: 0.471)
INFO  | 04/05/2026 06:47:20 PM | File rl_runner.py         | Line 220   |   Ep 200/500: Avg Score = -200.00 (eps: 0.367)
INFO  | 04/05/2026 06:47:59 PM | File rl_runner.py         | Line 220   |   Ep 250/500: Avg Score = -198.42 (eps: 0.286)
INFO  | 04/05/2026 06:48:37 PM | File rl_runner.py         | Line 220   |   Ep 300/500: Avg Score = -195.18 (eps: 0.222)
INFO  | 04/05/2026 06:49:14 PM | File rl_runner.py         | Line 220   |   Ep 350/500: Avg Score = -183.32 (eps: 0.173)
INFO  | 04/05/2026 06:49:50 PM | File rl_runner.py         | Line 220   |   Ep 400/500: Avg Score = -185.34 (eps: 0.135)
INFO  | 04/05/2026 06:50:29 PM | File rl_runner.py         | Line 220   |   Ep 450/500: Avg Score = -197.94 (eps: 0.105)
INFO  | 04/05/2026 06:51:05 PM | File rl_runner.py         | Line 220   |   Ep 500/500: Avg Score = -188.78 (eps: 0.082)
INFO  | 04/05/2026 06:51:05 PM | File rl_runner.py         | Line 127   | [Seed 47] Done. Final avg(last 50): -188.78
INFO  | 04/05/2026 06:51:05 PM | File rl_runner.py         | Line 123   | [Seed 48] (7/10) Training SwiGLUDQN for 500 episodes...
INFO  | 04/05/2026 06:51:06 PM | File rl_runner.py         | Line 220   |   Ep 1/500: Avg Score = -200.00 (eps: 0.995)
INFO  | 04/05/2026 06:51:07 PM | File rl_runner.py         | Line 220   |   Ep 2/500: Avg Score = -200.00 (eps: 0.990)
INFO  | 04/05/2026 06:51:07 PM | File rl_runner.py         | Line 220   |   Ep 3/500: Avg Score = -200.00 (eps: 0.985)
INFO  | 04/05/2026 06:51:08 PM | File rl_runner.py         | Line 220   |   Ep 4/500: Avg Score = -200.00 (eps: 0.980)
