INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 75 | Val MSE = 0.585080
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 76 | Val MSE = 0.581788
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 77 | Val MSE = 0.587300
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 78 | Val MSE = 0.589805
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 79 | Val MSE = 0.590476
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 80 | Val MSE = 0.587936
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 81 | Val MSE = 0.583136
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 82 | Val MSE = 0.582767
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 83 | Val MSE = 0.590963
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 84 | Val MSE = 0.598084
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 85 | Val MSE = 0.595524
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 86 | Val MSE = 0.590433
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 87 | Val MSE = 0.593441
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 88 | Val MSE = 0.587864
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 89 | Val MSE = 0.592028
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 90 | Val MSE = 0.592841
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 91 | Val MSE = 0.586493
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 92 | Val MSE = 0.588500
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 93 | Val MSE = 0.600488
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 94 | Val MSE = 0.583361
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 95 | Val MSE = 0.568157
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 96 | Val MSE = 0.577258
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 97 | Val MSE = 0.576314
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 98 | Val MSE = 0.579153
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 99 | Val MSE = 0.578836
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 100 | Val MSE = 0.585142
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 101 | Val MSE = 0.589167
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 102 | Val MSE = 0.589906
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 103 | Val MSE = 0.580384
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 104 | Val MSE = 0.576606
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 105 | Val MSE = 0.588135
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 106 | Val MSE = 0.585988
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 107 | Val MSE = 0.593219
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 108 | Val MSE = 0.589188
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 109 | Val MSE = 0.579925
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 110 | Val MSE = 0.573079
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 111 | Val MSE = 0.571660
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 112 | Val MSE = 0.575889
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 113 | Val MSE = 0.573042
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 114 | Val MSE = 0.576134
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 115 | Val MSE = 0.579649
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 116 | Val MSE = 0.577514
INFO  | 04/08/2026 09:54:57 AM | File experiment_runner.py | Line 211   | Epoch 117 | Val MSE = 0.583438
