INFO  | 04/05/2026 02:44:17 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 1/50: Acc = 0.4042
INFO  | 04/05/2026 02:44:31 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 2/50: Acc = 0.4662
INFO  | 04/05/2026 02:44:46 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 3/50: Acc = 0.5278
INFO  | 04/05/2026 02:45:00 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 4/50: Acc = 0.5431
INFO  | 04/05/2026 02:45:15 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 5/50: Acc = 0.5858
INFO  | 04/05/2026 02:45:29 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 6/50: Acc = 0.5809
INFO  | 04/05/2026 02:45:43 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 7/50: Acc = 0.5808
INFO  | 04/05/2026 02:45:58 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 8/50: Acc = 0.6206
INFO  | 04/05/2026 02:46:12 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 9/50: Acc = 0.6410
INFO  | 04/05/2026 02:46:27 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 10/50: Acc = 0.6578
INFO  | 04/05/2026 02:46:41 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 11/50: Acc = 0.6642
INFO  | 04/05/2026 02:46:56 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 12/50: Acc = 0.6751
INFO  | 04/05/2026 02:47:10 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 13/50: Acc = 0.6762
INFO  | 04/05/2026 02:47:23 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 14/50: Acc = 0.6935
INFO  | 04/05/2026 02:47:37 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 15/50: Acc = 0.6877
INFO  | 04/05/2026 02:47:51 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 16/50: Acc = 0.7069
INFO  | 04/05/2026 02:48:05 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 17/50: Acc = 0.7115
INFO  | 04/05/2026 02:48:19 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 18/50: Acc = 0.7238
INFO  | 04/05/2026 02:48:33 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 19/50: Acc = 0.7243
INFO  | 04/05/2026 02:48:47 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 20/50: Acc = 0.7240
INFO  | 04/05/2026 02:49:01 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 21/50: Acc = 0.7397
INFO  | 04/05/2026 02:49:14 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 22/50: Acc = 0.7420
INFO  | 04/05/2026 02:49:28 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 23/50: Acc = 0.7366
INFO  | 04/05/2026 02:49:42 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 24/50: Acc = 0.7439
INFO  | 04/05/2026 02:49:56 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 25/50: Acc = 0.7541
INFO  | 04/05/2026 02:50:10 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 26/50: Acc = 0.7569
INFO  | 04/05/2026 02:50:24 AM | File mixer_runner.py      | Line 212   |   Seed 44 Ep 27/50: Acc = 0.7608
