INFO  | 04/05/2026 02:22:59 AM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0292 = 0.000143
INFO  | 04/05/2026 02:23:00 AM | File experiment_runner.py | Line 126   | Pretrain epoch 0300 (no improvement, best = 0.000143)
INFO  | 04/05/2026 02:23:04 AM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0314 = 0.000139
INFO  | 04/05/2026 02:23:05 AM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0317 = 0.000135
INFO  | 04/05/2026 02:23:05 AM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0318 = 0.000130
INFO  | 04/05/2026 02:23:10 AM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0340 = 0.000129
INFO  | 04/05/2026 02:23:19 AM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0378 = 0.000126
INFO  | 04/05/2026 02:23:25 AM | File experiment_runner.py | Line 126   | Pretrain epoch 0400 (no improvement, best = 0.000126)
INFO  | 04/05/2026 02:23:30 AM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0423 = 0.000122
INFO  | 04/05/2026 02:23:34 AM | File experiment_runner.py | Line 120   | Pretrain Loss @ epoch 0440 = 0.000116
INFO  | 04/05/2026 02:23:50 AM | File experiment_runner.py | Line 126   | Pretrain epoch 0500 (no improvement, best = 0.000116)
INFO  | 04/05/2026 02:23:50 AM | File run.py               | Line 193   | === Starting Phase 1 ===
