INFO  | 12/24/2025 06:40:02 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.3979421377182006 +- 0
INFO  | 12/24/2025 06:40:02 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.3958958506584167
INFO  | 12/24/2025 06:40:08 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.3876266586780548 +- 0
INFO  | 12/24/2025 06:40:08 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.3876266586780548
INFO  | 12/24/2025 06:40:12 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.3902530109882354 +- 0
INFO  | 12/24/2025 06:40:12 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.3876266586780548
INFO  | 12/24/2025 06:40:17 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.390061947107315 +- 0
INFO  | 12/24/2025 06:40:17 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.3876266586780548
INFO  | 12/24/2025 06:40:23 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.382852749824524 +- 0
INFO  | 12/24/2025 06:40:23 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.382852749824524
INFO  | 12/24/2025 06:40:28 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.3870850861072541 +- 0
INFO  | 12/24/2025 06:40:28 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.382852749824524
INFO  | 12/24/2025 06:40:33 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.374968010187149 +- 0
INFO  | 12/24/2025 06:40:33 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.374968010187149
INFO  | 12/24/2025 06:40:38 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.3935299611091614 +- 0
INFO  | 12/24/2025 06:40:38 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.374968010187149
INFO  | 12/24/2025 06:40:43 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.3851497972011566 +- 0
INFO  | 12/24/2025 06:40:43 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.374968010187149
INFO  | 12/24/2025 06:40:48 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.3704135859012603 +- 0
INFO  | 12/24/2025 06:40:48 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.3704135859012603
INFO  | 12/24/2025 06:40:53 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.3785166025161744 +- 0
INFO  | 12/24/2025 06:40:53 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.3704135859012603
INFO  | 12/24/2025 06:40:58 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.3706413465738296 +- 0
INFO  | 12/24/2025 06:40:58 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.3704135859012603
INFO  | 12/24/2025 06:41:04 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.3692965590953827 +- 0
INFO  | 12/24/2025 06:41:04 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.3692965590953827
INFO  | 12/24/2025 06:41:06 PM | File inference_runner.py  | Line 611   | Train Loss @ epoch 0038 iteration 00015000 = 1.330143928527832
INFO  | 12/24/2025 06:41:09 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.3738320195674896 +- 0
INFO  | 12/24/2025 06:41:09 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.3692965590953827
INFO  | 12/24/2025 06:41:14 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.3649170911312103 +- 0
INFO  | 12/24/2025 06:41:14 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.3649170911312103
INFO  | 12/24/2025 06:41:19 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.3710347127914428 +- 0
INFO  | 12/24/2025 06:41:19 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.3649170911312103
INFO  | 12/24/2025 06:41:24 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.367634218931198 +- 0
INFO  | 12/24/2025 06:41:24 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.3649170911312103
INFO  | 12/24/2025 06:41:29 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.3692290246486665 +- 0
INFO  | 12/24/2025 06:41:29 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.3649170911312103
INFO  | 12/24/2025 06:41:34 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.3657547569274902 +- 0
INFO  | 12/24/2025 06:41:34 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.3649170911312103
INFO  | 12/24/2025 06:41:39 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.36308713555336 +- 0
INFO  | 12/24/2025 06:41:39 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.36308713555336
INFO  | 12/24/2025 06:41:45 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.364911643266678 +- 0
INFO  | 12/24/2025 06:41:45 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.36308713555336
INFO  | 12/24/2025 06:41:49 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.3639550471305848 +- 0
INFO  | 12/24/2025 06:41:49 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.36308713555336
INFO  | 12/24/2025 06:41:54 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.3648187601566315 +- 0
INFO  | 12/24/2025 06:41:54 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.36308713555336
INFO  | 12/24/2025 06:42:00 PM | File inference_runner.py  | Line 559   | Avg. Validation Loss = 1.3663798832893372 +- 0
INFO  | 12/24/2025 06:42:00 PM | File inference_runner.py  | Line 574   | Current Best Validation Loss = 1.36308713555336
