host,mode,seed,init,status,host_ppl,best_ppl,final_ppl,n_epochs,operator,operator_r2_margin,mult_r2,swiglu_r2,poly3_r2,checkpoint,result_file
bilinear,frozen,42,multiply,completed,79.20046176408975,79.01093669923411,79.12306460705942,10,multiply,0.43586805512842586,0.9974099862737621,0.5615419311453362,0.9997732979211543,/user_data/yizhouc3/xor_causal_v2/probes/bilinear_frozen_s42/inner_bilinear_frozen_multiply_seed42.pth,/user_data/yizhouc3/xor_causal_v2/probes/bilinear_frozen_s42/results.json
bilinear,frozen,42,random,completed,79.20046176408975,78.99169754603328,79.0614386699521,10,multiply,0.44935496011677567,0.9990653127195062,0.5497103526027305,0.9994852029127111,/user_data/yizhouc3/xor_causal_v2/probes/bilinear_frozen_s42/inner_bilinear_frozen_random_seed42.pth,/user_data/yizhouc3/xor_causal_v2/probes/bilinear_frozen_s42/results.json
bilinear,frozen,43,multiply,completed,79.0895718948231,79.00195879678841,79.10628013456663,10,multiply,0.4593762179761287,0.9994685696235353,0.5400923516474065,0.9997156829594557,/user_data/yizhouc3/xor_causal_v2/probes/bilinear_frozen_s43/inner_bilinear_frozen_multiply_seed43.pth,/user_data/yizhouc3/xor_causal_v2/probes/bilinear_frozen_s43/results.json
bilinear,frozen,43,random,completed,79.0895718948231,79.02394174019487,79.04759376769347,10,multiply,0.46966013354887937,0.9995738747810611,0.5299137412321817,0.9996882280599677,/user_data/yizhouc3/xor_causal_v2/probes/bilinear_frozen_s43/inner_bilinear_frozen_random_seed43.pth,/user_data/yizhouc3/xor_causal_v2/probes/bilinear_frozen_s43/results.json
bilinear,frozen,44,multiply,completed,80.78801031921678,80.76391110275654,80.81488614157591,10,multiply,0.46102709771541617,0.9993230070752648,0.5382959093598486,0.9995861964319767,/user_data/yizhouc3/xor_causal_v2/probes/bilinear_frozen_s44_retry/inner_bilinear_frozen_multiply_seed44.pth,/user_data/yizhouc3/xor_causal_v2/probes/bilinear_frozen_s44_retry/results.json
bilinear,frozen,44,random,completed,80.78801031921678,80.77467718512807,80.91405275806848,10,multiply,0.4569441051161106,0.999309755191025,0.5423656500749144,0.9996782040831752,/user_data/yizhouc3/xor_causal_v2/probes/bilinear_frozen_s44_retry/inner_bilinear_frozen_random_seed44.pth,/user_data/yizhouc3/xor_causal_v2/probes/bilinear_frozen_s44_retry/results.json
bilinear,frozen,45,multiply,completed,79.4992149602356,79.43182656229186,79.43341773484673,10,multiply,0.4660770445136875,0.9996283953063265,0.533551350792639,0.9997573129174638,/user_data/yizhouc3/xor_causal_v2/probes/bilinear_frozen_s45/inner_bilinear_frozen_multiply_seed45.pth,/user_data/yizhouc3/xor_causal_v2/probes/bilinear_frozen_s45/results.json
bilinear,frozen,45,random,completed,79.4992149602356,79.43344084400802,79.49320875969083,10,multiply,0.46955480677071104,0.9994252596280669,0.5298704528573559,0.999674768569663,/user_data/yizhouc3/xor_causal_v2/probes/bilinear_frozen_s45/inner_bilinear_frozen_random_seed45.pth,/user_data/yizhouc3/xor_causal_v2/probes/bilinear_frozen_s45/results.json
bilinear,frozen,46,multiply,completed,79.74654853625364,79.615541981169,79.69408443423077,10,multiply,0.4499434696225404,0.9992933075121888,0.5493498378896484,0.9995659847287174,/user_data/yizhouc3/xor_causal_v2/probes/bilinear_frozen_s46/inner_bilinear_frozen_multiply_seed46.pth,/user_data/yizhouc3/xor_causal_v2/probes/bilinear_frozen_s46/results.json
bilinear,frozen,46,random,completed,79.74654853625364,79.61295288424598,79.69607762939785,10,multiply,0.45201609582516467,0.9991256551278647,0.5471095593027,0.9993967349585806,/user_data/yizhouc3/xor_causal_v2/probes/bilinear_frozen_s46/inner_bilinear_frozen_random_seed46.pth,/user_data/yizhouc3/xor_causal_v2/probes/bilinear_frozen_s46/results.json
