exp_name,task_type,model,dataset,metric,selection,config_signature,audit_status,raw_row_count,seed_count,seeds,values,mean,sample_sd,population_sd,min,max,identical_duplicate_rows,conflicting_seed_count,notes
cnn_fmnist_2arg,classification,XorNeuronConv,fashionmnist,test_accuracy,reported_scalar,13d259d402c14f739d87ab8718787e7ba76da858f34fa4931b0ab5d87df5178e,reportable,1,1,1234,0.9087,0.9087,,0,0.9087,0.9087,0,0,
cnn_fmnist_relu,classification,BaselineCNN,fashionmnist,test_accuracy,reported_scalar,97c31a36e50626f43609d085204b0f90d762c7754ce5b8dad0a2a36b1db15484,reportable,5,5,1234;42;43;44;45,0.8946;0.8944;0.891;0.8929;0.8942,0.89342,0.00150731549451,0.00134818396371,0.891,0.8946,0,0,
cnn_fmnist_relu_ln,classification,BaselineCNN,fashionmnist,test_accuracy,reported_scalar,ada842bb66d120ae1712427e1db1f7700204fdef24a009e474d9d776ad87bb28,reportable,5,5,1234;42;43;44;45,0.8966;0.8926;0.8922;0.8932;0.8925,0.89342,0.00181438694881,0.00162283702201,0.8922,0.8966,0,0,
cnn_mnist_1arg,classification,XorNeuronConv,mnist,test_accuracy,reported_scalar,c36aff904953f700e8bf21846e08619c8fe4ac912d0f50bada62e55d8ddceb20,reportable,4,4,1234;42;44;45,0.9937;0.9935;0.9948;0.9946,0.99415,0.000645497224368,0.000559016994375,0.9935,0.9948,0,0,
cnn_mnist_2arg,classification,XorNeuronConv,mnist,test_accuracy,reported_scalar,ac8f6cf68e0439c7e705a194f5d5f4da183bdf395bfc24b508f0b9c2f3682faf,reportable,5,5,1234;42;43;44;45,0.994;0.9934;0.9945;0.9944;0.9942,0.9941,0.000435889894354,0.000389871773792,0.9934,0.9945,0,0,
cnn_mnist_relu,classification,BaselineCNN,mnist,test_accuracy,reported_scalar,f755c0f7551db93bc1041ec9894915ec3271bc9bb3b3d60d4eb9f7c11c85c7ec,reportable,5,5,1234;42;43;44;45,0.9899;0.9905;0.9902;0.9905;0.9897,0.99016,0.0003577708764,0.00032,0.9897,0.9905,0,0,
cnn_mnist_relu_ln,classification,BaselineCNN,mnist,test_accuracy,reported_scalar,9c32f7827b2185428a2d300ae4fd94e5d56da9fd4e4bfb3d12af01b31aeb3dd2,reportable,4,4,42;43;44;45,0.9916;0.9921;0.9916;0.9919,0.9918,0.000244948974278,0.000212132034356,0.9916,0.9921,0,0,
cnn_svhn_2arg,classification,XorNeuronConv,svhn,test_accuracy,reported_scalar,504773ae7892ebd8a19167280f67f3b5b0966ac9701170ff33f19968a955798d,reportable,1,1,1234,0.950099877074,0.950099877074,,0,0.950099877074,0.950099877074,0,0,
cnn_svhn_relu,classification,BaselineCNN,svhn,test_accuracy,reported_scalar,f9bb25542243b69da4527f7948d4476d6738d35793f1c1c4fd2abcb4eadd3da5,reportable,5,5,1234;42;43;44;45,0.926283036263;0.927934849416;0.926436693301;0.922480024585;0.924131837738,0.925453288261,0.0021447751255,0.00191834519083,0.922480024585,0.927934849416,0,0,
cnn_svhn_relu_ln,classification,BaselineCNN,svhn,test_accuracy,reported_scalar,1551c2ac403427f24ea25899629250c8ea4ca9f9997a2f784af5763793cca68e,reportable,3,3,1234;43;44,0.929240934235;0.927896435157;0.927589121082,0.928242163491,0.000878503121238,0.000717294794825,0.927589121082,0.929240934235,0,0,
lstm_wikitext_2arg,language_model,InnerNetLSTMModel,wikitext,best_val_ppl,best_over_recorded_epochs,4e5ad913ea35ff1ac79b9ecfab0eb1ad7d5183fbd3f51efa075091224b4a4143,reportable,5,5,42;43;44;45;46,102.306236227;103.532759016;103.018593477;104.185864027;103.361027133,103.280895976,0.690577184859,0.617671011622,102.306236227,104.185864027,0,0,
lstm_wikitext_2arg,language_model,InnerNetLSTMModel,wikitext,final_val_ppl,final_recorded_epoch,4e5ad913ea35ff1ac79b9ecfab0eb1ad7d5183fbd3f51efa075091224b4a4143,reportable,5,5,42;43;44;45;46,104.795838178;105.52073921;105.152515218;105.681498089;105.338331806,105.2977845,0.343381085508,0.307129379754,104.795838178,105.681498089,0,0,
lstm_wikitext_baseline,language_model,StandardLSTMModel,wikitext,best_val_ppl,best_over_recorded_epochs,ccbf127e2c86d84a452964cde91e769265b5ec262fcb873b5f70378988f700fd,reportable,5,5,42;43;44;45;46,104.209785478;104.904844116;103.21696386;104.677993995;104.66557236,104.335031962,0.674041683446,0.602881209541,103.21696386,104.904844116,0,0,
lstm_wikitext_baseline,language_model,StandardLSTMModel,wikitext,final_val_ppl,final_recorded_epoch,ccbf127e2c86d84a452964cde91e769265b5ec262fcb873b5f70378988f700fd,reportable,5,5,42;43;44;45;46,107.962006953;109.332528467;107.204704323;108.520443781;108.936448326,108.39122637,0.835475558465,0.747272056907,107.204704323,109.332528467,0,0,
mixer_cifar_2arg,mixer,InnerNetMLPMixer,,best_val_accuracy,best_over_recorded_epochs,100ee5aaabb5f6ea9700a8e364a04335e25d02d15fa6c8329373f159bf829aca,reportable,5,5,42;43;44;45;46,0.7997;0.8009;0.8054;0.8051;0.802,0.80262,0.00253712435643,0.00226927301134,0.7997,0.8054,0,0,
mixer_cifar_2arg,mixer,InnerNetMLPMixer,,final_val_accuracy,final_recorded_epoch,100ee5aaabb5f6ea9700a8e364a04335e25d02d15fa6c8329373f159bf829aca,reportable,5,5,42;43;44;45;46,0.7997;0.8006;0.8053;0.8042;0.8009,0.80214,0.00245418010749,0.00219508541975,0.7997,0.8053,0,0,
mixer_cifar_gelu,mixer,StandardMLPMixer,,best_val_accuracy,best_over_recorded_epochs,36c23594640b73a2fd574de48a2451d1686fab823f0a8fd342ab406dcf2c04e3,reportable,5,5,42;43;44;45;46,0.81;0.814;0.8161;0.8097;0.8159,0.81314,0.00311496388422,0.00278610839703,0.8097,0.8161,0,0,
mixer_cifar_gelu,mixer,StandardMLPMixer,,final_val_accuracy,final_recorded_epoch,36c23594640b73a2fd574de48a2451d1686fab823f0a8fd342ab406dcf2c04e3,reportable,5,5,42;43;44;45;46,0.8098;0.8137;0.8155;0.8086;0.8153,0.81258,0.00319170800669,0.00285475042692,0.8086,0.8155,0,0,
mixer_mnist_2arg,mixer,InnerNetMLPMixer,mnist,best_val_accuracy,best_over_recorded_epochs,28fc69193f7b086b7c0a2768b778abaf1906e82f9a9d3ef8f253b40a7f16a7e3,reportable,5,5,42;43;44;45;46,0.9909;0.9917;0.9904;0.9922;0.9906,0.99116,0.000763544366753,0.000682934843159,0.9904,0.9922,0,0,
